id,name,followers,genres,popularity,image,url
7GY6RgfJdJDs2euNW5Scv4,Abdon Mech,5023,"{""indian singer-songwriter"",""nagaland indie"",""northeast indian indie""}",21,https://i.scdn.co/image/ab6761610000e5eba43df19a36c0364fd7295c27,https://open.spotify.com/artist/7GY6RgfJdJDs2euNW5Scv4
2aKWtObj45bDkX1f2E4Eom,Adam Ragsdale,6473,{},27,https://i.scdn.co/image/ab6761610000e5ebe661da54c3c2a89559988c6c,https://open.spotify.com/artist/2aKWtObj45bDkX1f2E4Eom
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,38413452,"{""electro house""}",81,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
6UOGGcrqiMY20uxSHVYnED,Amberlake,3636,"{""devon indie""}",23,https://i.scdn.co/image/ab6761610000e5eb8eaa8077872d7bdb782d3857,https://open.spotify.com/artist/6UOGGcrqiMY20uxSHVYnED
6q6eylLazY3ORi6YqH9x4x,Brandon Jenner,22382,"{""pop folk""}",38,https://i.scdn.co/image/ab6761610000e5eb37a989650c5dbeb721f26bd6,https://open.spotify.com/artist/6q6eylLazY3ORi6YqH9x4x
7oz714xNCkpbvDe2xvwrKk,DICKSON,2620,{},39,https://i.scdn.co/image/ab6761610000e5eb09ae5861a136ec51402f9625,https://open.spotify.com/artist/7oz714xNCkpbvDe2xvwrKk
090vLbh2n0TxSE3YGfHh6k,Dr Arthur Blicks,241,{},22,https://i.scdn.co/image/ab67616d0000b273fefa361fd355af33062b72b4,https://open.spotify.com/artist/090vLbh2n0TxSE3YGfHh6k
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,113059658,"{pop,""singer-songwriter pop"",""uk pop""}",90,https://i.scdn.co/image/ab6761610000e5eb9e690225ad4445530612ccc9,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
2KFqKJvmyR5FRdW2Ww8YeY,Erin,320,{},26,https://i.scdn.co/image/ab67616d0000b2738a9ff21901ccccdefc2eb7e6,https://open.spotify.com/artist/2KFqKJvmyR5FRdW2Ww8YeY
0ddd7w9reaR40shckQqUep,Fatin Majidi,3653,{},27,https://i.scdn.co/image/ab6761610000e5eb3fb8d8412e147dca7ff8d65a,https://open.spotify.com/artist/0ddd7w9reaR40shckQqUep
60VWor37GAY948KKZibKiI,Gaston Pong,1082,{},28,https://i.scdn.co/image/ab6761610000e5eb86d761bedd8ac18c21b0457e,https://open.spotify.com/artist/60VWor37GAY948KKZibKiI
